Date,Ticker,Open,High,Low,Close,Volume,sentiment,return,ma_5,ma_10,volatility_5,sentiment_lag1,sentiment_ma3,target,pred,strategy_return,buy_hold_return
2026-03-20,GOOGL,305.2776414809433,305.8173276578073,298.0919312440676,300.8203125,44364100,0.0,-0.01995898201913937,306.2770568847656,305.84031677246094,0.0152659339206707,0.0,0.0,1,1,0.003521661147902977,0.003521661147902977
2026-03-23,GOOGL,301.92965766257777,305.7973733016039,300.75036931754545,301.87969970703125,29326900,0.0,0.003521661147902977,305.5774780273438,305.41057739257815,0.014186654202894704,0.0,0.0,0,0,0.0,-0.03846919033715546
2026-03-24,GOOGL,299.02141279307426,299.7409842283802,290.1566818819568,290.2666320800781,36864300,0.0,-0.03846919033715546,301.4839233398437,303.75156860351564,0.016590581329242723,0.0,0.0,1,1,0.0016870180877650576,0.0016870180877650576
2026-03-25,GOOGL,293.2648285118823,295.8232978370104,289.0673235725591,290.7563171386719,29460700,0.0,0.0016870180877650576,298.13392333984376,301.9756256103516,0.017964763518603297,0.0,0.0,0,1,-0.03440681152238945,-0.03440681152238945
2026-03-26,GOOGL,287.7381369232671,287.7781215852462,278.33375052565475,280.7523193359375,39080600,0.0,-0.03440681152238945,292.8950561523437,299.71398010253904,0.019631877914280213,0.0,0.0,0,0,0.0,-0.02342306677223538
2026-03-27,GOOGL,277.1144865271076,279.203235317384,273.7864876697142,274.1762390136719,35890600,0.0,-0.02342306677223538,287.5662414550781,296.92164916992186,0.01979964431847292,0.0,0.0,0,0,0.0,-0.003061928559749294
2026-03-30,GOOGL,276.2550012483934,276.9245842043685,271.9475460941929,273.33673095703125,35141200,0.0,-0.003061928559749294,281.85764770507814,293.7175628662109,0.018141992304395987,0.0,0.0,1,1,0.05140767278298308,0.05140767278298308
2026-03-31,GOOGL,277.87403020607053,287.9080147834651,276.9245851168754,287.3883361816406,43875400,0.0,0.05140767278298308,281.2819885253906,291.38295593261716,0.03307294963454696,0.0,0.0,1,1,0.03418426038221156,0.03418426038221156
2026-04-01,GOOGL,290.6663854824321,300.34059988895723,290.2366494817892,297.2124938964844,37684500,0.0,0.03418426038221156,282.57322387695314,290.35357360839845,0.03684812537140064,0.0,0.0,0,1,-0.005447446206045203,-0.005447446206045203
2026-04-02,GOOGL,290.5164904801884,297.9020635524316,289.2772403921399,295.59344482421875,21666500,0.0,-0.005447446206045203,285.54144897460935,289.21825256347654,0.030915750048289743,0.0,0.0,1,1,0.014267800370968198,0.014267800370968198
2026-04-06,GOOGL,295.69337737406744,300.4405418912755,295.0037868253031,299.8109130859375,16945500,0.0,0.014267800370968198,290.6683837890625,289.1173126220703,0.024418000908370152,0.0,0.0,1,1,0.018233945467744705,0.018233945467744705
2026-04-07,GOOGL,302.5492981026724,305.4475608650088,297.5422790326475,305.27764892578125,23205400,0.0,0.018233945467744705,297.0565673828125,289.4571075439453,0.0214429434257829,0.0,0.0,1,1,0.03882673963431005,0.03882673963431005
2026-04-08,GOOGL,320.25872115869026,321.88772251879675,314.8319393907938,317.1305847167969,33547100,0.0,0.03882673963431005,303.00501708984376,292.1435028076172,0.017601051777146572,0.0,0.0,1,1,0.003687064768298942,0.003687064768298942
2026-04-09,GOOGL,315.72141928886384,319.3492572184689,310.8743084256086,318.29986572265625,23739200,0.0,0.003687064768298942,307.2224914550781,294.8978576660156,0.01672488790947314,0.0,0.0,0,0,0.0,-0.003924717522926557
2026-04-10,GOOGL,319.8289680511782,321.6378852163977,316.1311948927162,317.0506286621094,19152600,0.0,-0.003924717522926557,311.51392822265626,298.52768859863284,0.016292476486851348,0.0,0.0,1,1,0.012829389221314713,0.012829389221314713
2026-04-13,GOOGL,316.9507009019676,321.4380108789369,315.28168437302884,321.1181945800781,18866400,0.0,0.012829389221314713,315.7753845214844,303.2218841552734,0.016304076130722867,0.0,0.0,1,1,0.03610221659486279,0.03610221659486279
2026-04-14,GOOGL,324.59612530340485,333.09105123243734,323.5567375910905,332.7112731933594,27721400,0.0,0.03610221659486279,321.262109375,309.1593383789062,0.019186600179113576,0.0,0.0,1,1,0.012646066883422513,0.012646066883422513
2026-04-15,GOOGL,332.69130668872015,337.278563176308,330.70247381548376,336.91876220703125,24918800,0.0,0.012646066883422513,325.21974487304686,314.1123809814453,0.015036327039413952,0.0,0.0,0,0,0.0,-0.0032629979618038485
2026-04-16,GOOGL,338.5477782390461,339.6771085489368,334.3202924195682,335.81939697265625,20541500,0.0,-0.0032629979618038485,328.72365112304686,317.9730712890625,0.01629634431890173,0.0,0.0,1,0,0.0,0.01684431209009718
2026-04-17,GOOGL,337.4484504303517,342.1156763245155,336.0392884001999,341.4760437011719,25581900,0.0,0.01684431209009718,333.6087341308594,322.5613311767578,0.014075596113154586,0.0,0.0,0,0,0.0,-0.012467774438631563
2026-04-20,GOOGL,340.55660000710446,341.1962021124509,336.40905286572576,337.2185974121094,18784200,0.0,-0.012467774438631563,336.8288146972656,326.302099609375,0.018814065042515284,0.0,0.0,0,0,0.0,-0.015203648803314485
2026-04-21,GOOGL,337.4884145965044,339.13742351057505,331.1522029907326,332.0916442871094,23123800,0.0,-0.015203648803314485,336.70488891601565,328.98349914550784,0.014495519117143658,0.0,0.0,1,0,0.0,0.02115626211004451
2026-04-22,GOOGL,336.818816762841,339.6171637007564,334.96994545488326,339.1174621582031,20293000,0.0,0.02115626211004451,337.14462890625,331.18218688964845,0.01672255710641821,0.0,0.0,0,1,-0.0012672556948888358,-0.0012672556948888358
2026-04-23,GOOGL,340.9763246437424,341.7558578013153,335.97930940305434,338.6877136230469,18650300,0.0,-0.0012672556948888358,337.7182922363281,333.2209716796875,0.016606451761952492,0.0,0.0,1,0,0.0,0.016258881347370746
2026-04-24,GOOGL,338.5277988797623,345.063872727698,335.1897964239415,344.19439697265625,26426100,0.0,0.016258881347370746,338.261962890625,335.9353485107422,0.016475518446822875,0.0,0.0,1,0,0.0,0.017247411505119103
2026-04-27,GOOGL,345.77347673538645,352.9691603649003,342.5254168368208,350.130859375,28576900,0.0,0.017247411505119103,340.84441528320315,338.83661499023435,0.015414670720262954,0.0,0.0,0,0,0.0,-0.0015984362710370625
2026-04-28,GOOGL,348.34192077884484,352.20963620070955,345.91337868788094,349.5711975097656,27824100,0.0,-0.0015984362710370625,344.3403259277344,340.522607421875,0.010920047905281952,0.0,0.0,1,0,0.0,0.00045745218860759884
2026-04-29,GOOGL,347.36252924438134,355.5776236260777,344.0045190996302,349.7311096191406,35376300,0.0,0.00045745218860759884,346.4630554199219,341.80384216308596,0.009653714871685612,0.0,0.0,1,0,0.0,0.09961702406520634
2026-04-30,GOOGL,373.8467067603946,385.6096696957082,365.60163158627074,384.5702819824219,72040000,0.0,0.09961702406520634,355.6395690917969,346.6789306640625,0.04184576721363912,0.0,0.0,1,1,0.002312960442559797,0.002312960442559797
2026-05-01,GOOGL,381.4022037517389,386.5291464515476,378.823726715884,385.4597778320313,30105200,0.0,0.002312960442559797,363.89264526367185,351.0773040771484,0.043135309857406386,0.0,0.0,0,0,0.0,-0.006326388005902572
2026-05-04,GOOGL,385.3997937985888,387.1487490940992,379.5632837866369,383.0212097167969,26298600,0.0,-0.006326388005902572,370.47071533203126,355.6575653076172,0.04524116401800068,0.0,0.0,1,0,0.0,0.013515988851422689
2026-05-05,GOOGL,385.9994517026946,392.58551415458055,383.79074899852696,388.1981201171875,23878600,0.0,0.013515988851422689,378.19609985351565,361.268212890625,0.04401815034921133,0.0,0.0,1,0,0.0,0.024740662220501752
2026-05-06,GOOGL,394.0146525811788,399.61131576273664,392.5255517960256,397.8023986816406,31308500,0.0,0.024740662220501752,387.81035766601565,367.13670654296874,0.04236742144754491,0.0,0.0,0,0,0.0,-0.00012565985809642743
2026-05-07,GOOGL,399.6812819584635,399.8611671879692,392.4455831227277,397.7524108886719,24433500,0.0,-0.00012565985809642743,390.4467834472656,373.0431762695313,0.012322433337837266,0.0,0.0,1,0,0.0,0.007060470320022771
2026-05-08,GOOGL,396.7630105926761,401.7600258394352,396.1233780013978,400.5607299804688,21461800,0.0,0.007060470320022771,393.46697387695315,378.6798095703125,0.012068271939421022,0.0,0.0,0,0,0.0,-0.03033924459227455
2026-05-11,GOOGL,393.415008612389,397.2027547509894,388.23810807955056,388.4080200195313,30753700,0.0,-0.03033924459227455,394.5443359375,382.5075256347656,0.020742471200983593,0.0,0.0,0,0,0.0,-0.0033193073752801894
2026-05-12,GOOGL,387.1087706238473,388.28805889354703,382.541491402114,387.1187744140625,26017500,0.0,-0.0033193073752801894,394.328466796875,386.2622833251953,0.01995411888458152,0.0,0.0,1,0,0.0,0.039421737678543955
2026-05-13,GOOGL,385.3698394939953,403.4590416115898,384.77019153718186,402.3796691894531,28144600,0.0,0.039421737678543955,395.2439208984375,391.5271392822266,0.02501589082791059,0.0,0.0,0,1,-0.0038497776707889786,-0.0038497776707889786
2026-05-14,GOOGL,397.0428507456917,402.6894719958145,395.6037078837972,400.8305969238281,21136700,0.0,-0.0038497776707889786,395.85955810546875,393.1531707763672,0.025170051133077746,0.0,0.0,0,0,0.0,-0.010696401675079903
